method,time_ms,memory_peak_kb
mysqli_procedural_static,141.3177,1889.4453125
mysqli_procedural_static,94.3447,1889.4453125
mysqli_procedural_static,95.5686,1889.4453125
mysqli_procedural_static,100.1997,1889.4453125
mysqli_procedural_static,99.3408,1889.4453125
mysqli_procedural_static,98.7896,1889.4453125
mysqli_procedural_static,98.8737,1889.4453125
mysqli_procedural_static,100.8722,1889.4453125
mysqli_procedural_static,99.2858,1889.4453125
mysqli_procedural_static,101.7587,1889.4453125
mysqli_procedural_static,114.7598,1889.4453125
mysqli_procedural_static,94.3301,1889.4453125
mysqli_procedural_static,94.3848,1889.4453125
mysqli_procedural_static,95.274,1889.4453125
mysqli_procedural_static,93.5531,1889.4453125
mysqli_procedural_static,95.8838,1889.4453125
mysqli_procedural_static,94.1821,1889.4453125
mysqli_procedural_static,94.6877,1889.4453125
mysqli_procedural_static,98.4942,1889.4453125
mysqli_procedural_static,94.8283,1889.4453125
mysqli_procedural_static,96.6107,1889.4453125
mysqli_procedural_static,97.0576,1889.4453125
mysqli_procedural_static,94.2744,1889.4453125
mysqli_procedural_static,94.3692,1889.4453125
mysqli_procedural_static,95.2873,1889.4453125
mysqli_procedural_static,96.6883,1889.4453125
mysqli_procedural_static,94.6001,1889.4453125
mysqli_procedural_static,94.3711,1889.4453125
mysqli_procedural_static,94.8142,1889.4453125
mysqli_procedural_static,95.4024,1889.4453125
mysqli_procedural_static,97.4662,1889.4453125
mysqli_procedural_static,95.6268,1889.4453125
mysqli_procedural_static,95.6038,1889.4453125
mysqli_procedural_static,94.3473,1889.4453125
mysqli_procedural_static,93.5828,1889.4453125
mysqli_procedural_static,95.9895,1889.4453125
mysqli_procedural_static,94.3324,1889.4453125
mysqli_procedural_static,94.6353,1889.4453125
mysqli_procedural_static,94.709,1889.4453125
mysqli_procedural_static,96.7044,1889.4453125
mysqli_procedural_static,99.8206,1889.4453125
mysqli_procedural_static,96.3773,1889.4453125
mysqli_procedural_static,93.5215,1889.4453125
mysqli_procedural_static,95.265,1889.4453125
mysqli_procedural_static,95.5884,1889.4453125
mysqli_procedural_static,95.4274,1889.4453125
mysqli_procedural_static,95.3256,1889.4453125
mysqli_procedural_static,94.1315,1889.4453125
mysqli_procedural_static,94.7928,1889.4453125
mysqli_procedural_static,96.2765,1889.4453125
mysqli_procedural_static,95.8821,1889.4453125
mysqli_procedural_static,96.7781,1889.4453125
