method,time_ms,memory_peak_kb
mysqli_procedural_static,40.5294,66.1796875
mysqli_procedural_static,21.2387,65.4453125
mysqli_procedural_static,19.5861,65.4453125
mysqli_procedural_static,16.1592,65.4453125
mysqli_procedural_static,16.8056,65.4453125
mysqli_procedural_static,15.394,65.4453125
mysqli_procedural_static,15.8629,65.4453125
mysqli_procedural_static,16.2516,65.4453125
mysqli_procedural_static,16.4083,65.4453125
mysqli_procedural_static,16.1987,64.8203125
mysqli_procedural_static,16.1163,64.8203125
mysqli_procedural_static,15.8916,64.8203125
mysqli_procedural_static,16.3146,64.8203125
mysqli_procedural_static,16.1233,64.8203125
mysqli_procedural_static,16.5831,64.8203125
mysqli_procedural_static,16.1646,64.8203125
mysqli_procedural_static,16.1113,64.8203125
mysqli_procedural_static,15.5394,63.5703125
mysqli_procedural_static,15.8699,63.5703125
mysqli_procedural_static,16.0149,63.5703125
mysqli_procedural_static,16.119,63.5703125
mysqli_procedural_static,15.6621,63.5703125
mysqli_procedural_static,16.4022,63.5703125
mysqli_procedural_static,21.8901,63.5703125
mysqli_procedural_static,22.2769,63.5703125
mysqli_procedural_static,16.0149,63.5703125
mysqli_procedural_static,15.6041,63.5703125
mysqli_procedural_static,15.9621,63.5703125
mysqli_procedural_static,22.7842,63.5703125
mysqli_procedural_static,16.0966,63.5703125
mysqli_procedural_static,16.0653,63.5703125
mysqli_procedural_static,15.5094,63.5703125
mysqli_procedural_static,15.979,63.5703125
mysqli_procedural_static,16.0476,61.0703125
mysqli_procedural_static,16.1999,61.0703125
mysqli_procedural_static,16.003,61.0703125
mysqli_procedural_static,15.5611,61.0703125
mysqli_procedural_static,16.1113,61.0703125
mysqli_procedural_static,16.6798,61.0703125
mysqli_procedural_static,21.9104,61.0703125
mysqli_procedural_static,16.4228,61.0703125
mysqli_procedural_static,15.8885,61.0703125
mysqli_procedural_static,15.9918,61.0703125
mysqli_procedural_static,16.0909,61.0703125
mysqli_procedural_static,16.0649,61.0703125
mysqli_procedural_static,18.2652,61.0703125
mysqli_procedural_static,16.3591,61.0703125
mysqli_procedural_static,16.0967,61.0703125
mysqli_procedural_static,15.8288,61.0703125
mysqli_procedural_static,17.3711,61.0703125
mysqli_procedural_static,16.2126,61.0703125
mysqli_procedural_static,15.7372,61.0703125
mysqli_procedural_static,15.5371,61.0703125
mysqli_procedural_static,16.2541,61.0703125
mysqli_procedural_static,16.2679,61.0703125
mysqli_procedural_static,16.1167,61.0703125
mysqli_procedural_static,16.2406,61.0703125
mysqli_procedural_static,16.2433,61.0703125
mysqli_procedural_static,23.4162,61.0703125
mysqli_procedural_static,20.5248,61.0703125
mysqli_procedural_static,18.7355,61.0703125
mysqli_procedural_static,16.9753,61.0703125
mysqli_procedural_static,16.9756,61.0703125
mysqli_procedural_static,16.9142,61.0703125
mysqli_procedural_static,16.4853,61.0703125
mysqli_procedural_static,17.3673,50.0703125
mysqli_procedural_static,16.1596,50.0703125
mysqli_procedural_static,16.3849,50.0703125
mysqli_procedural_static,21.8896,50.0703125
mysqli_procedural_static,16.7023,50.0703125
mysqli_procedural_static,21.161,50.0703125
mysqli_procedural_static,16.2779,50.0703125
mysqli_procedural_static,16.7238,50.0703125
mysqli_procedural_static,18.3411,50.0703125
mysqli_procedural_static,16.2584,50.0703125
mysqli_procedural_static,16.2047,50.0703125
mysqli_procedural_static,16.0508,50.0703125
mysqli_procedural_static,18.1246,50.0703125
mysqli_procedural_static,19.8391,50.0703125
mysqli_procedural_static,17.2271,50.0703125
mysqli_procedural_static,16.2803,50.0703125
mysqli_procedural_static,16.2765,50.0703125
mysqli_procedural_static,16.162,50.0703125
mysqli_procedural_static,16.6063,50.0703125
mysqli_procedural_static,16.1895,50.0703125
mysqli_procedural_static,16.85,50.0703125
mysqli_procedural_static,16.5836,50.0703125
mysqli_procedural_static,16.24,50.0703125
mysqli_procedural_static,17.3688,50.0703125
mysqli_procedural_static,16.3963,50.0703125
mysqli_procedural_static,17.6041,50.0703125
mysqli_procedural_static,25.0322,50.0703125
mysqli_procedural_static,16.7171,50.0703125
mysqli_procedural_static,17.3438,50.0703125
mysqli_procedural_static,16.621,50.0703125
mysqli_procedural_static,16.133,50.0703125
mysqli_procedural_static,16.345,50.0703125
mysqli_procedural_static,16.0919,50.0703125
mysqli_procedural_static,16.6496,50.0703125
mysqli_procedural_static,15.6876,50.0703125
mysqli_procedural_static,15.8979,50.0703125
mysqli_procedural_static,16.0777,50.0703125
mysqli_procedural_static,16.179,50.0703125
mysqli_procedural_static,16.0395,50.0703125
mysqli_procedural_static,15.8687,50.0703125
mysqli_procedural_static,16.4728,50.0703125
mysqli_procedural_static,16.1731,50.0703125
mysqli_procedural_static,16.0673,50.0703125
mysqli_procedural_static,16.0732,50.0703125
mysqli_procedural_static,16.331,50.0703125
mysqli_procedural_static,15.8569,50.0703125
mysqli_procedural_static,16.1037,50.0703125
mysqli_procedural_static,15.9835,50.0703125
mysqli_procedural_static,15.5415,50.0703125
mysqli_procedural_static,15.7863,50.0703125
mysqli_procedural_static,15.9479,50.0703125
mysqli_procedural_static,20.2254,50.0703125
mysqli_procedural_static,17.4154,50.0703125
mysqli_procedural_static,15.9462,50.0703125
mysqli_procedural_static,15.8612,50.0703125
mysqli_procedural_static,16.3924,50.0703125
mysqli_procedural_static,16.6998,50.0703125
mysqli_procedural_static,15.9936,50.0703125
mysqli_procedural_static,16.1662,50.0703125
mysqli_procedural_static,16.177,50.0703125
mysqli_procedural_static,15.9849,50.0703125
mysqli_procedural_static,16.0723,50.0703125
mysqli_procedural_static,15.9585,50.0703125
mysqli_procedural_static,15.9173,50.0703125
mysqli_procedural_static,15.8505,42.0703125
mysqli_procedural_static,15.7653,42.0703125
mysqli_procedural_static,18.9241,42.0703125
mysqli_procedural_static,15.8922,42.0703125
mysqli_procedural_static,16.2942,42.0703125
mysqli_procedural_static,16.7777,42.0703125
mysqli_procedural_static,16.0099,42.0703125
mysqli_procedural_static,15.9502,42.0703125
mysqli_procedural_static,16.0445,42.0703125
mysqli_procedural_static,15.7708,42.0703125
mysqli_procedural_static,16.0893,42.0703125
mysqli_procedural_static,15.9706,42.0703125
mysqli_procedural_static,16.1681,42.0703125
mysqli_procedural_static,16.0184,42.0703125
mysqli_procedural_static,16.0126,42.0703125
mysqli_procedural_static,17.025,42.0703125
mysqli_procedural_static,16.226,42.0703125
mysqli_procedural_static,15.9271,42.0703125
mysqli_procedural_static,15.9443,42.0703125
mysqli_procedural_static,16.1098,42.0703125
mysqli_procedural_static,16.3451,42.0703125
mysqli_procedural_static,16.6412,42.0703125
mysqli_procedural_static,16.0968,42.0703125
mysqli_procedural_static,15.4984,42.0703125
mysqli_procedural_static,16.1538,42.0703125
mysqli_procedural_static,15.4561,42.0703125
mysqli_procedural_static,16.1418,42.0703125
mysqli_procedural_static,16.1592,42.0703125
mysqli_procedural_static,16.1079,42.0703125
mysqli_procedural_static,20.2383,42.0703125
mysqli_procedural_static,15.9742,42.0703125
mysqli_procedural_static,16.1055,42.0703125
mysqli_procedural_static,22.5183,42.0703125
mysqli_procedural_static,15.9338,42.0703125
mysqli_procedural_static,15.9104,42.0703125
mysqli_procedural_static,16.1974,42.0703125
mysqli_procedural_static,15.6862,42.0703125
mysqli_procedural_static,15.532,42.0703125
mysqli_procedural_static,22.025,42.0703125
mysqli_procedural_static,15.8632,42.0703125
mysqli_procedural_static,15.8597,42.0703125
mysqli_procedural_static,16.0051,42.0703125
mysqli_procedural_static,16.013,42.0703125
mysqli_procedural_static,16.2512,42.0703125
mysqli_procedural_static,16.242,42.0703125
mysqli_procedural_static,16.016,42.0703125
mysqli_procedural_static,16.3469,42.0703125
mysqli_procedural_static,17.2869,42.0703125
mysqli_procedural_static,15.3833,42.0703125
mysqli_procedural_static,16.4541,42.0703125
mysqli_procedural_static,16.0903,42.0703125
mysqli_procedural_static,16.1551,42.0703125
mysqli_procedural_static,15.9803,42.0703125
mysqli_procedural_static,16.1707,42.0703125
mysqli_procedural_static,16.0221,42.0703125
mysqli_procedural_static,17.2577,42.0703125
mysqli_procedural_static,16.0985,42.0703125
mysqli_procedural_static,16.0154,42.0703125
mysqli_procedural_static,15.9546,42.0703125
mysqli_procedural_static,16.63,42.0703125
mysqli_procedural_static,16.1339,42.0703125
mysqli_procedural_static,16.0747,42.0703125
mysqli_procedural_static,15.9681,42.0703125
mysqli_procedural_static,16.0561,42.0703125
mysqli_procedural_static,16.1431,42.0703125
mysqli_procedural_static,15.5608,42.0703125
mysqli_procedural_static,16.0405,42.0703125
mysqli_procedural_static,16.0677,42.0703125
mysqli_procedural_static,16.0491,42.0703125
mysqli_procedural_static,16.2182,42.0703125
mysqli_procedural_static,15.9862,42.0703125
mysqli_object_static,16.2755,65.8046875
mysqli_object_static,15.2869,65.0703125
mysqli_object_static,15.3156,65.0703125
mysqli_object_static,23.1426,65.0703125
mysqli_object_static,19.4014,65.0703125
mysqli_object_static,20.6286,65.0703125
mysqli_object_static,15.5152,65.0703125
mysqli_object_static,15.8157,65.0703125
mysqli_object_static,21.564,65.0703125
mysqli_object_static,15.308,64.4453125
mysqli_object_static,15.698,64.4453125
mysqli_object_static,18.6084,64.4453125
mysqli_object_static,16.4814,64.4453125
mysqli_object_static,16.5274,64.4453125
mysqli_object_static,15.7585,64.4453125
mysqli_object_static,15.2719,64.4453125
mysqli_object_static,15.1924,64.4453125
mysqli_object_static,14.878,63.1953125
mysqli_object_static,15.1168,63.1953125
mysqli_object_static,15.3996,63.1953125
mysqli_object_static,15.287,63.1953125
mysqli_object_static,15.3519,63.1953125
mysqli_object_static,15.3571,63.1953125
mysqli_object_static,15.6301,63.1953125
mysqli_object_static,15.5424,63.1953125
